c_Cod;d_Inizio;d_Fine;v_Descrizione;b_Bacino;c_CodiceRegione;c_CodAslTerritoriale;c_Provincia;c_ComuneFiscale;c_Regione
001065;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASTAGNOLE PIEMONTE;NULL;010;108;TO;C048 ;150
001065;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASTAGNOLE PIEMONTE;NULL;010;205;TO;C048 ;150
001066;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASTELLAMONTE;NULL;010;109;TO;C133 ;150
001066;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASTELLAMONTE;NULL;010;204;TO;C133 ;150
001067;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASTELNUOVO NIGRA;NULL;010;109;TO;C241 ;150
001067;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASTELNUOVO NIGRA;NULL;010;204;TO;C241 ;150
001068;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CASTIGLIONE TORINESE;NULL;010;107;TO;C307 ;150
001068;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CASTIGLIONE TORINESE;NULL;010;204;TO;C307 ;150
001069;1958-01-01 00:00:00.000;2007-12-31 00:00:00.000;CAVAGNOLO;NULL;010;107;TO;C369 ;150
001069;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CAVAGNOLO;NULL;010;204;TO;C369 ;150
001070;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CAVOUR;NULL;010;110;TO;C404 ;150
001070;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CAVOUR;NULL;010;203;TO;C404 ;150
001071;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CERCENASCO;NULL;010;110;TO;C487 ;150
001071;2008-01-01 00:00:00.000;2050-01-01 00:00:00.000;CERCENASCO;NULL;010;203;TO;C487 ;150
001072;1880-01-01 00:00:00.000;2007-12-31 00:00:00.000;CERES;NULL;010;106;TO;C497 ;150
